eNodeB ID,eNodebName,小区号,长码(小区CI）,CellName,网络类型,longitude,LATITUDE,覆盖类型
1035569,安康旬阳佛洞村-HLH-AKCO958TL,AKCO958TL-1,265105665,安康旬阳佛洞村-HLH-AKCO958TL-1,lte,109.3275,33.013888,宏站
1035569,安康旬阳佛洞村-HLH-AKCO958TL,AKCO958TL-2,265105666,安康旬阳佛洞村-HLH-AKCO958TL-2,lte,109.3275,33.013888,宏站
1035390,安康旬阳服务区拉远-HLH-AKCO779TL,AKCO779TL-0,265059840,安康旬阳服务区拉远-HLH-AKCO779TL-0,lte,109.398055,32.711111,宏站
1035390,安康旬阳服务区拉远-HLH-AKCO779TL,AKCO779TL-1,265059841,安康旬阳服务区拉远-HLH-AKCO779TL-1,lte,109.398055,32.711111,宏站
1035390,安康旬阳服务区拉远-HLH-AKCO779TL,AKCO779TL-2,265059842,安康旬阳服务区拉远-HLH-AKCO779TL-2,lte,109.398055,32.711111,宏站
1035144,安康旬阳高鼻梁村-HLH-AKCO533TL,AKCO533TL-0,264996864,安康旬阳高鼻梁村-HLH-AKCO533TL-0,lte,109.236111,32.763333,宏站
1035144,安康旬阳高鼻梁村-HLH-AKCO533TL,AKCO533TL-1,264996865,安康旬阳高鼻梁村-HLH-AKCO533TL-1,lte,109.236111,32.763333,宏站
1035144,安康旬阳高鼻梁村-HLH-AKCO533TL,AKCO533TL-2,264996866,安康旬阳高鼻梁村-HLH-AKCO533TL-2,lte,109.236111,32.763333,宏站
1035280,安康旬阳构元枣园-HLH-AKCO669TL,AKCO669TL-0,265031680,安康旬阳构元枣园-HLH-AKCO669TL-0,lte,109.451111,32.863333,宏站
1035280,安康旬阳构元枣园-HLH-AKCO669TL,AKCO669TL-1,265031681,安康旬阳构元枣园-HLH-AKCO669TL-1,lte,109.451111,32.863333,宏站
1035280,安康旬阳构元枣园-HLH-AKCO669TL,AKCO669TL-2,265031682,安康旬阳构元枣园-HLH-AKCO669TL-2,lte,109.451111,32.863333,宏站
