BSC名称,MSC,基站索引,基站名称,小区索引,小区CI,小区名称,网络类型,经度,纬度,覆盖类型
ANK-HBSC-6000-016,XAGS30/41,61,安康tijx家属院HG-AK471VP,170,54711,安康tijx家属院HG-AK471-0,GSM,109.0241667,32.68027778,宏站
ANK-HBSC-6000-016,XAGS30/41,61,安康tijx家属院HG-AK471VP,171,54712,安康tijx家属院HG-AK471-1,GSM,109.0241667,32.68027778,宏站
ANK-HBSC-6000-016,XAGS30/41,61,安康tijx家属院HG-AK471VP,172,54713,安康tijx家属院HG-AK471-2,GSM,109.023611,32.681111,宏站
ANK-HBSC-6000-017,XAGS30/41,62,安康坝河HG-AK278,1,52781,安康坝河HG-AK278-0,GSM,109.3033333,32.62472222,宏站
ANK-HBSC-6000-017,XAGS30/41,62,安康坝河HG-AK278,2,52782,安康坝河HG-AK278-1,GSM,109.3033333,32.62472222,宏站
ANK-HBSC-6000-009,XAGS30/41,80,安康白河安槐HG-AKM321,192,53217,安康白河安槐HG-AKM321-0,GSM,110.023333,32.779722,宏站
ANK-HBSC-6000-009,XAGS30/41,80,安康白河安槐HG-AKM321,578,53218,安康白河安槐HG-AKM321-2,GSM,110.051388,32.754722,宏站
ANK-HBSC-6000-009,XAGS30/41,80,安康白河安槐HG-AKM321,599,53219,安康白河安槐HG-AKM321-3,GSM,110.051388,32.754722,宏站
ANK-HBSC-6000-009,XAGS30/41,170,安康白河柏家沟HG-AK079,2,50790,安康白河柏家沟HG-AK079-0,GSM,109.976388,32.882777,宏站
ANK-HBSC-6000-009,XAGS30/41,170,安康白河柏家沟HG-AK079,3,50791,安康白河柏家沟HG-AK079-1,GSM,109.976388,32.882777,宏站
ANK-HBSC-6000-009,XAGS30/41,170,安康白河柏家沟HG-AK079,4,50792,安康白河柏家沟HG-AK079-2,GSM,109.976388,32.882777,宏站
ANK-HBSC-6000-021,XAGS29/56,53,安康白河马庄HG-AK452,120,54527,安康白河仓上东庄拉远HG-AK452-7,GSM,109.6875,32.779722,宏站
ANK-HBSC-6000-021,XAGS29/56,53,安康白河马庄HG-AK452,386,54528,安康白河仓上东庄拉远HG-AK452-8,GSM,109.6875,32.779722,宏站
ANK-HBSC-6000-021,XAGS29/56,53,安康白河马庄HG-AK452,388,54529,安康白河仓上东庄拉远HG-AK452-9,GSM,109.6875,32.779722,宏站
ANK-HBSC-6000-009,XAGS30/41,105,安康白河仓上镇仓坪村HG-AKM670,258,56707,安康白河仓上镇仓坪村HG-AKM670-0,GSM,109.746388,32.805555,宏站
ANK-HBSC-6000-009,XAGS30/41,105,安康白河仓上镇仓坪村HG-AKM670,346,56708,安康白河仓上镇仓坪村HG-AKM670-1,GSM,109.746388,32.805555,宏站
ANK-HBSC-6000-009,XAGS30/41,105,安康白河仓上镇仓坪村HG-AKM670,347,56709,安康白河仓上镇仓坪村HG-AKM670-2,GSM,109.746388,32.805555,宏站
ANK-HBSC-6000-009,XAGS30/41,127,安康白河仓上镇灯塔村拉远HG-AKM835,359,58354,安康白河仓上镇灯塔村拉远HG-AKM835-0,GSM,109.736388,32.850833,宏站
ANK-HBSC-6000-009,XAGS30/41,127,安康白河仓上镇灯塔村拉远HG-AKM835,535,58355,安康白河仓上镇灯塔村拉远HG-AKM835-1,GSM,109.736388,32.850833,宏站
ANK-HBSC-6000-009,XAGS30/41,127,安康白河仓上镇灯塔村拉远HG-AKM835,536,58356,安康白河仓上镇灯塔村拉远HG-AKM835-2,GSM,109.736388,32.850833,宏站
ANK-HBSC-6000-021,XAGS29/56,0,安康白河仓上镇东庄村(原岚皋刑警队（龙爪子）)HG-AKF223,218,2230,安康白河仓上镇东庄村(原岚皋刑警队（龙爪子）)HG-AKF223-0,GSM,109.706854,32.78334,宏站
ANK-HBSC-6000-021,XAGS29/56,0,安康白河仓上镇东庄村(原岚皋刑警队（龙爪子）)HG-AKF223,219,2231,安康白河仓上镇东庄村(原岚皋刑警队（龙爪子）)HG-AKF223-1,GSM,109.706854,32.78334,宏站
ANK-HBSC-6000-021,XAGS29/56,0,安康白河仓上镇东庄村(原岚皋刑警队（龙爪子）)HG-AKF223,240,2232,安康白河仓上镇东庄村(原岚皋刑警队（龙爪子）)HG-AKF223-2,GSM,109.706854,32.78334,宏站
ANK-HBSC-6000-021,XAGS29/56,122,安康白河仓上镇马庄2拉远HG-AKF253,97,52537,安康白河仓上镇马庄2拉远HG-AKF253-0,GSM,109.675,32.794722,宏站
ANK-HBSC-6000-021,XAGS29/56,122,安康白河仓上镇马庄2拉远HG-AKF253,273,52538,安康白河仓上镇马庄2拉远HG-AKF253-1,GSM,109.675,32.794722,宏站
ANK-HBSC-6000-021,XAGS29/56,122,安康白河仓上镇马庄2拉远HG-AKF253,275,52539,安康白河仓上镇马庄2拉远HG-AKF253-2,GSM,109.675,32.794722,宏站
ANK-HBSC-6000-021,XAGS29/56,55,安康白河仓上镇鱼塘村HG-AKM781,127,57814,安康白河仓上镇鱼塘村HG-AKM781-0,GSM,109.670695,32.834222,宏站
ANK-HBSC-6000-021,XAGS29/56,55,安康白河仓上镇鱼塘村HG-AKM781,387,57815,安康白河仓上镇鱼塘村HG-AKM781-1,GSM,109.670695,32.834222,宏站
ANK-HBSC-6000-021,XAGS29/56,55,安康白河仓上镇鱼塘村HG-AKM781,369,57816,安康白河仓上镇鱼塘村HG-AKM781-2,GSM,109.670695,32.834222,宏站
ANK-HBSC-6000-009,XAGS30/41,67,安康白河朝阳HG-AK738,121,57380,安康白河朝阳HG-AK738-0,GSM,109.890277,32.695833,宏站
ANK-HBSC-6000-009,XAGS30/41,67,安康白河朝阳HG-AK738,138,57381,安康白河朝阳HG-AK738-1,GSM,109.890277,32.695833,宏站
ANK-HBSC-6000-009,XAGS30/41,67,安康白河朝阳HG-AK738,398,57382,安康白河朝阳HG-AK738-2,GSM,109.890277,32.695833,宏站
ANK-HBSC-6000-009,XAGS30/41,98,安康白河城关中学HG-AKM668,223,56687,安康白河城关中学HG-AKM668-0,GSM,110.1058333,32.815,宏站
ANK-HBSC-6000-009,XAGS30/41,98,安康白河城关中学HG-AKM668,230,56688,安康白河城关中学HG-AKM668-1,GSM,110.1058333,32.815,宏站
ANK-HBSC-6000-009,XAGS30/41,98,安康白河城关中学HG-AKM668,235,56689,安康白河城关中学HG-AKM668-2,GSM,110.1058333,32.815,宏站
ANK-HBSC-6000-009,XAGS30/41,242,安康白河川余HG-AK977,402,59777,安康白河川余HG-AK977-0,GSM,109.888611,32.807777,宏站
ANK-HBSC-6000-009,XAGS30/41,242,安康白河川余HG-AK977,375,59778,安康白河川余HG-AK977-1,GSM,109.888611,32.807777,宏站
ANK-HBSC-6000-009,XAGS30/41,242,安康白河川余HG-AK977,164,59779,安康白河川余HG-AK977-2,GSM,109.888611,32.807777,宏站
ANK-HBSC-6000-009,XAGS30/41,97,安康白河大沟HG-AK976,162,59767,安康白河大沟HG-AK976-0,GSM,110.003611,32.65,宏站
ANK-HBSC-6000-009,XAGS30/41,97,安康白河大沟HG-AK976,322,59768,安康白河大沟HG-AK976-1,GSM,110.003611,32.65,宏站
ANK-HBSC-6000-009,XAGS30/41,97,安康白河大沟HG-AK976,142,59769,安康白河大沟HG-AK976-2,GSM,110.003611,32.65,宏站
ANK-HBSC-6000-009,XAGS30/41,25,安康白河大坪HG-AK456,76,54560,安康白河大坪HG-AK456-0,GSM,110.131666,32.73,宏站
ANK-HBSC-6000-009,XAGS30/41,25,安康白河大坪HG-AK456,77,54561,安康白河大坪HG-AK456-1,GSM,110.131666,32.73,宏站
ANK-HBSC-6000-009,XAGS30/41,25,安康白河大坪HG-AK456,244,54562,安康白河大坪HG-AK456-2,GSM,110.131666,32.73,宏站
ANK-HBSC-6000-009,XAGS30/41,128,安康白河大桥路HG-AKM783,360,57834,安康白河大桥路HG-AKM783-0,GSM,110.1077778,32.8025,宏站
ANK-HBSC-6000-009,XAGS30/41,128,安康白河大桥路HG-AKM783,361,57835,安康白河大桥路HG-AKM783-1,GSM,110.1077778,32.8025,宏站
ANK-HBSC-6000-009,XAGS30/41,128,安康白河大桥路HG-AKM783,362,57836,安康白河大桥路HG-AKM783-2,GSM,110.1077778,32.8025,宏站
ANK-HBSC-6000-009,XAGS30/41,111,安康白河大山HG-AK880,180,58807,安康白河大山HG-AK880-0,GSM,109.829166,32.718888,宏站
ANK-HBSC-6000-009,XAGS30/41,111,安康白河大山HG-AK880,313,58808,安康白河大山HG-AK880-1,GSM,109.829166,32.718888,宏站
ANK-HBSC-6000-009,XAGS30/41,111,安康白河大山HG-AK880,358,58809,安康白河大山HG-AK880-2,GSM,109.829166,32.718888,宏站
ANK-HBSC-6000-009,XAGS30/41,20,安康白河大双HG-AK246,59,52460,安康白河大双HG-AK246-0,GSM,109.853333,32.865833,宏站
ANK-HBSC-6000-009,XAGS30/41,20,安康白河大双HG-AK246,64,52461,安康白河大双HG-AK246-1,GSM,109.853333,32.865833,宏站
ANK-HBSC-6000-009,XAGS30/41,20,安康白河大双HG-AK246,197,52462,安康白河大双HG-AK246-2,GSM,109.853333,32.865833,宏站
ANK-HBSC-6000-009,XAGS30/41,1,安康白河大双河口HG-AK444,23,54441,安康白河大双河口HG-AK444-0,GSM,109.818333,32.85,宏站
ANK-HBSC-6000-009,XAGS30/41,1,安康白河大双河口HG-AK444,50,54440,安康白河大双河口HG-AK444-1,GSM,109.818333,32.85,宏站
ANK-HBSC-6000-009,XAGS30/41,1,安康白河大双河口HG-AK444,389,54442,安康白河大双河口HG-AK444-2,GSM,109.818333,32.85,宏站
ANK-HBSC-6000-009,XAGS30/41,132,安康白河大双乡秧田村HG-AKF092,387,921,安康白河大双乡秧田村HG-AKF092-0,GSM,109.840555,32.859444,宏站
ANK-HBSC-6000-009,XAGS30/41,132,安康白河大双乡秧田村HG-AKF092,388,922,安康白河大双乡秧田村HG-AKF092-1,GSM,109.840555,32.859444,宏站
ANK-HBSC-6000-009,XAGS30/41,132,安康白河大双乡秧田村HG-AKF092,508,924,安康白河大双乡秧田村HG-AKF092-2,GSM,109.840555,32.859444,宏站
ANK-HBSC-6000-009,XAGS30/41,93,安康白河东桥HG-AKM001,158,50016,安康白河东桥HG-AKM001-0,GSM,109.858888,32.624166,宏站
ANK-HBSC-6000-009,XAGS30/41,93,安康白河东桥HG-AKM001,317,50017,安康白河东桥HG-AKM001-1,GSM,109.858888,32.624166,宏站
ANK-HBSC-6000-009,XAGS30/41,93,安康白河东桥HG-AKM001,163,50018,安康白河东桥HG-AKM001-2,GSM,109.858888,32.624166,宏站
ANK-HBSC-6000-009,XAGS30/41,135,安康白河二站HG-AK164,224,51643,安康白河二站HG-AK164-0,GSM,110.1152778,32.81027778,宏站
ANK-HBSC-6000-009,XAGS30/41,135,安康白河二站HG-AK164,225,51641,安康白河二站HG-AK164-1,GSM,110.1152778,32.81027778,宏站
ANK-HBSC-6000-009,XAGS30/41,135,安康白河二站HG-AK164,226,51642,安康白河二站HG-AK164-2,GSM,110.1152778,32.81027778,宏站
ANK-HBSC-6000-009,XAGS30/41,94,安康白河反沟HG-AK981,159,59817,安康白河反沟HG-AK981-0,GSM,109.991944,32.694166,宏站
ANK-HBSC-6000-009,XAGS30/41,94,安康白河反沟HG-AK981,170,59819,安康白河反沟HG-AK981-1,GSM,109.991944,32.694166,宏站
ANK-HBSC-6000-009,XAGS30/41,94,安康白河反沟HG-AK981,328,59818,安康白河反沟HG-AK981-2,GSM,109.991944,32.694166,宏站
ANK-HBSC-6000-009,XAGS30/41,101,安康白河高桥HG-AK926,168,59267,安康白河高桥HG-AK926-0,GSM,109.722301,32.722664,宏站
ANK-HBSC-6000-009,XAGS30/41,101,安康白河高桥HG-AK926,316,59268,安康白河高桥HG-AK926-1,GSM,109.722301,32.722664,宏站
ANK-HBSC-6000-009,XAGS30/41,101,安康白河高桥HG-AK926,473,59269,安康白河高桥HG-AK926-2,GSM,109.722301,32.722664,宏站
ANK-HBSC-6000-009,XAGS30/41,63,安康白河构扒HG-AK218,122,52180,安康白河构扒HG-AK218-0,GSM,110.0372222,32.74,宏站
ANK-HBSC-6000-009,XAGS30/41,63,安康白河构扒HG-AK218,123,52181,安康白河构扒HG-AK218-1,GSM,110.0372222,32.74,宏站
ANK-HBSC-6000-009,XAGS30/41,63,安康白河构扒HG-AK218,124,52182,安康白河构扒HG-AK218-2,GSM,110.0372222,32.74,宏站
ANK-HBSC-6000-009,XAGS30/41,269,安康白河家扒HG-AKM125,238,51256,安康白河构扒隧道（十天高速）拉远HG-AKM125-0,GSM,110.028965,32.740059,宏站
ANK-HBSC-6000-009,XAGS30/41,269,安康白河家扒HG-AKM125,525,1253,安康白河构扒隧道（十天高速）拉远HG-AKM125-1,GSM,110.028965,32.740059,宏站
ANK-HBSC-6000-009,XAGS30/41,117,安康白河构朳镇东坡村HG-AKM782,300,57824,安康白河构朳镇东坡村HG-AKM782-0,GSM,110.076944,32.665833,宏站
