BSC名称,MSC,基站索引,基站名称,小区索引,小区CI,小区名称,网络类型,经度,纬度,覆盖类型
ANK-HBSC-6000-009,XAGS30/41,117,安康白河构朳镇东坡村HG-AKM782,46,57825,安康白河构朳镇东坡村HG-AKM782-1,GSM,110.071388,32.712777,宏站
ANK-HBSC-6000-009,XAGS30/41,117,安康白河构朳镇东坡村HG-AKM782,47,57826,安康白河构朳镇东坡村HG-AKM782-2,GSM,110.071388,32.712777,宏站
ANK-HBSC-6000-009,XAGS30/41,45,安康白河黑龙HG-AK740,82,57400,安康白河黑龙HG-AK740-0,GSM,110.013888,32.727777,宏站
ANK-HBSC-6000-009,XAGS30/41,45,安康白河黑龙HG-AK740,295,57401,安康白河黑龙HG-AK740-1,GSM,110.013888,32.727777,宏站
ANK-HBSC-6000-009,XAGS30/41,45,安康白河黑龙HG-AK740,297,57402,安康白河黑龙HG-AK740-2,GSM,110.013888,32.727777,宏站
ANK-HBSC-6000-021,XAGS29/56,102,安康白河花房HG-AK927,155,59277,安康白河花房HG-AK927-0,GSM,109.658953,32.736234,宏站
ANK-HBSC-6000-021,XAGS29/56,102,安康白河花房HG-AK927,156,59278,安康白河花房HG-AK927-1,GSM,109.658953,32.736234,宏站
ANK-HBSC-6000-021,XAGS29/56,102,安康白河花房HG-AK927,335,59279,安康白河花房HG-AK927-2,GSM,109.658953,32.736234,宏站
ANK-HBSC-6000-009,XAGS30/41,154,安康白河花房隧道HG-AKM251,269,52514,安康白河花房隧道HG-AKM251-0,GSM,109.914166,32.6425,宏站
ANK-HBSC-6000-009,XAGS30/41,154,安康白河花房隧道HG-AKM251,270,52515,安康白河花房隧道HG-AKM251-1,GSM,109.914166,32.6425,宏站
ANK-HBSC-6000-009,XAGS30/41,154,安康白河花房隧道HG-AKM251,271,52516,安康白河花房隧道HG-AKM251-2,GSM,109.914166,32.6425,宏站
ANK-HBSC-6000-009,XAGS30/41,154,安康白河花房隧道HG-AKM251,336,52517,安康白河花房隧道HG-AKM380-3,GSM,109.914166,32.6425,宏站
ANK-HBSC-6000-009,XAGS30/41,80,安康白河安槐HG-AKM321,365,53213,安康白河黄石板口拉远HG-AKM321-1,GSM,110.051388,32.754722,宏站
ANK-HBSC-6000-009,XAGS30/41,274,安康白河黄土梁HG-AKM143,460,51434,安康白河黄土梁HG-AKM143-0,GSM,110.020833,32.698333,宏站
ANK-HBSC-6000-009,XAGS30/41,274,安康白河黄土梁HG-AKM143,461,51435,安康白河黄土梁HG-AKM143-1,GSM,110.020833,32.698333,宏站
ANK-HBSC-6000-009,XAGS30/41,274,安康白河黄土梁HG-AKM143,462,51436,安康白河黄土梁HG-AKM143-2,GSM,110.020833,32.698333,宏站
ANK-HBSC-6000-009,XAGS30/41,269,安康白河家扒HG-AKM125,455,51254,安康白河家扒HG-AKM125-0,GSM,109.986666,32.762222,宏站
ANK-HBSC-6000-009,XAGS30/41,269,安康白河家扒HG-AKM125,134,51255,安康白河家扒HG-AKM125-1,GSM,109.986666,32.762222,宏站
ANK-HBSC-6000-009,XAGS30/41,269,安康白河家扒HG-AKM125,556,1256,安康白河家扒HG-AKM125-2,GSM,110.028965,32.740059,宏站
ANK-HBSC-6000-009,XAGS30/41,123,安康白河交通局HG-AK611,202,56111,安康白河交通局HG-AK611-0,GSM,110.1083333,32.81722222,宏站
ANK-HBSC-6000-009,XAGS30/41,123,安康白河交通局HG-AK611,204,56112,安康白河交通局HG-AK611-1,GSM,110.1083333,32.81722222,宏站
ANK-HBSC-6000-009,XAGS30/41,123,安康白河交通局HG-AK611,203,56113,安康白河交通局HG-AK611-2,GSM,110.1083333,32.81722222,宏站
ANK-HBSC-6000-009,XAGS30/41,71,安康白河金银村HG-AK806,126,58067,安康白河金银村HG-AK806-0,GSM,109.991111,32.834444,宏站
ANK-HBSC-6000-009,XAGS30/41,71,安康白河金银村HG-AK806,311,58068,安康白河金银村HG-AK806-1,GSM,109.991111,32.834444,宏站
ANK-HBSC-6000-009,XAGS30/41,71,安康白河金银村HG-AK806,603,58069,安康白河金银村HG-AK806-2,GSM,109.991111,32.834444,宏站
ANK-HBSC-6000-009,XAGS30/41,4,安康白河俊逸木瓜酒厂大门外酒店HG-AKF190,8,51907,安康白河俊逸木瓜酒厂大门外酒店HG-AKF190-0,GSM,110.1125,32.801111,宏站
ANK-HBSC-6000-009,XAGS30/41,4,安康白河俊逸木瓜酒厂大门外酒店HG-AKF190,9,51908,安康白河俊逸木瓜酒厂大门外酒店HG-AKF190-1,GSM,110.1125,32.801111,宏站
ANK-HBSC-6000-009,XAGS30/41,4,安康白河俊逸木瓜酒厂大门外酒店HG-AKF190,10,51909,安康白河俊逸木瓜酒厂大门外酒店HG-AKF190-2,GSM,110.1125,32.801111,宏站
ANK-HBSC-6000-009,XAGS30/41,57,安康白河卡子HG-AK396,107,53960,安康白河卡子HG-AK396-0,GSM,110.0138889,32.61916667,宏站
ANK-HBSC-6000-009,XAGS30/41,57,安康白河卡子HG-AK396,516,53961,安康白河卡子HG-AK396-1,GSM,110.0138889,32.61916667,宏站
ANK-HBSC-6000-009,XAGS30/41,57,安康白河卡子HG-AK396,517,53962,安康白河卡子HG-AK396-2,GSM,110.0138889,32.61916667,宏站
ANK-HBSC-6000-009,XAGS30/41,90,安康白河卡子东坝HG-AK742,151,57420,安康白河卡子东坝HG-AK742-0,GSM,110.0425,32.595833,宏站
ANK-HBSC-6000-009,XAGS30/41,90,安康白河卡子东坝HG-AK742,141,57421,安康白河卡子东坝HG-AK742-1,GSM,110.0425,32.595833,宏站
ANK-HBSC-6000-009,XAGS30/41,90,安康白河卡子东坝HG-AK742,239,57422,安康白河卡子东坝HG-AK742-2,GSM,110.0425,32.595833,宏站
ANK-HBSC-6000-009,XAGS30/41,36,安康白河卡子镇仓房村HG-AKM379,247,53795,安康白河卡子东坝HG-AKM379-1,GSM,110.027873,32.566908,宏站
ANK-HBSC-6000-009,XAGS30/41,36,安康白河卡子镇仓房村HG-AKM379,86,53794,安康白河卡子镇仓房村HG-AKM379-0,GSM,110.056944,32.599166,宏站
ANK-HBSC-6000-009,XAGS30/41,36,安康白河卡子镇仓房村HG-AKM379,90,3795,安康白河卡子镇仓房村HG-AKM379-1,GSM,110.027873,32.566908,宏站
ANK-HBSC-6000-009,XAGS30/41,36,安康白河卡子镇仓房村HG-AKM379,93,3796,安康白河卡子镇仓房村HG-AKM379-2,GSM,110.027873,32.566908,宏站
ANK-HBSC-6000-009,XAGS30/41,42,安康白河卡子镇五一村HG-AKM378,89,53784,安康白河卡子镇五一村HG-AKM378-0,GSM,110.036944,32.651388,宏站
ANK-HBSC-6000-009,XAGS30/41,42,安康白河卡子镇五一村HG-AKM378,519,53785,安康白河卡子镇五一村HG-AKM378-1,GSM,110.036944,32.651388,宏站
ANK-HBSC-6000-009,XAGS30/41,42,安康白河卡子镇五一村HG-AKM378,520,53786,安康白河卡子镇五一村HG-AKM378-2,GSM,110.036944,32.651388,宏站
ANK-HBSC-6000-009,XAGS30/41,12,安康白河卡子镇友爱村林业示范园HG-AKF273,35,52737,安康白河卡子镇友爱村林业示范园HG-AKF273-0,GSM,109.978333,32.589166,宏站
ANK-HBSC-6000-009,XAGS30/41,12,安康白河卡子镇友爱村林业示范园HG-AKF273,36,52738,安康白河卡子镇友爱村林业示范园HG-AKF273-1,GSM,109.978333,32.589166,宏站
ANK-HBSC-6000-009,XAGS30/41,12,安康白河卡子镇友爱村林业示范园HG-AKF273,38,52739,安康白河卡子镇友爱村林业示范园HG-AKF273-2,GSM,109.978333,32.589166,宏站
ANK-HBSC-6000-009,XAGS30/41,13,安康白河冷水镇川共村HG-AKF275,39,52757,安康白河冷水镇川共村HG-AKF275-0,GSM,109.89468,32.831524,宏站
ANK-HBSC-6000-009,XAGS30/41,13,安康白河冷水镇川共村HG-AKF275,40,52758,安康白河冷水镇川共村HG-AKF275-1,GSM,109.89468,32.831524,宏站
ANK-HBSC-6000-009,XAGS30/41,13,安康白河冷水镇川共村HG-AKF275,41,52759,安康白河冷水镇川共村HG-AKF275-2,GSM,109.89468,32.831524,宏站
ANK-HBSC-6000-009,XAGS30/41,131,安康白河冷水镇里龙村HG-AKF107,381,51077,安康白河冷水镇里龙村HG-AKF107-0,GSM,109.951388,32.867777,宏站
ANK-HBSC-6000-009,XAGS30/41,131,安康白河冷水镇里龙村HG-AKF107,384,51078,安康白河冷水镇里龙村HG-AKF107-1,GSM,109.951388,32.867777,宏站
ANK-HBSC-6000-009,XAGS30/41,131,安康白河冷水镇里龙村HG-AKF107,459,51070,安康白河冷水镇里龙村HG-AKF107-2,GSM,109.941944,32.853611,宏站
ANK-HBSC-6000-009,XAGS30/41,131,安康白河冷水镇里龙村HG-AKF107,385,51079,安康白河冷水镇里龙村拉远HG-AKF107-0,GSM,109.941944,32.853611,宏站
ANK-HBSC-6000-009,XAGS30/41,23,安康白河川河HG-AK580,354,55803,安康白河冷水镇瓦屋村拉远HG-AK580-0,GSM,109.881157,32.863029,宏站
ANK-HBSC-6000-009,XAGS30/41,17,安康白河冷水镇小双村9组HG-AKF285,57,2853,安康白河冷水镇小双村9组HG-AKF285-0,GSM,109.82525,32.80439,宏站
ANK-HBSC-6000-009,XAGS30/41,17,安康白河冷水镇小双村9组HG-AKF285,60,2854,安康白河冷水镇小双村9组HG-AKF285-1,GSM,109.82525,32.80439,宏站
ANK-HBSC-6000-009,XAGS30/41,17,安康白河冷水镇小双村9组HG-AKF285,61,2855,安康白河冷水镇小双村9组HG-AKF285-2,GSM,109.82525,32.80439,宏站
ANK-HBSC-6000-009,XAGS30/41,95,安康白河梨园HG-AK894,160,59797,安康白河梨园HG-AK894-0,GSM,109.706944,32.755277,宏站
ANK-HBSC-6000-009,XAGS30/41,95,安康白河梨园HG-AK894,260,59798,安康白河梨园HG-AK894-1,GSM,109.706944,32.755277,宏站
ANK-HBSC-6000-009,XAGS30/41,95,安康白河梨园HG-AK894,486,59799,安康白河梨园HG-AK894-2,GSM,109.706944,32.755277,宏站
ANK-HBSC-6000-009,XAGS30/41,24,安康白河凉水HG-AK453,281,54533,安康白河力神汽车制造厂拉远HG-AK453-3,GSM,110.063333,32.773611,宏站
ANK-HBSC-6000-009,XAGS30/41,24,安康白河凉水HG-AK453,282,4533,安康白河力神汽车制造厂拉远HG-AK453-4,GSM,110.063333,32.773611,宏站
ANK-HBSC-6000-009,XAGS30/41,24,安康白河凉水HG-AK453,283,4534,安康白河力神汽车制造厂拉远HG-AK453-5,GSM,110.063333,32.773611,宏站
ANK-HBSC-6000-009,XAGS30/41,24,安康白河凉水HG-AK453,80,54530,安康白河凉水HG-AK453-0,GSM,110.056388,32.764444,宏站
ANK-HBSC-6000-009,XAGS30/41,24,安康白河凉水HG-AK453,81,54531,安康白河凉水HG-AK453-1,GSM,110.056388,32.764444,宏站
ANK-HBSC-6000-009,XAGS30/41,24,安康白河凉水HG-AK453,85,4532,安康白河凉水HG-AK453-2,GSM,110.056388,32.764444,宏站
ANK-HBSC-6000-009,XAGS30/41,64,安康白河麻虎HG-AK209,125,52090,安康白河麻虎HG-AK209-0,GSM,110.0163889,32.87138889,宏站
ANK-HBSC-6000-009,XAGS30/41,64,安康白河麻虎HG-AK209,128,52091,安康白河麻虎HG-AK209-1,GSM,110.0163889,32.87138889,宏站
ANK-HBSC-6000-009,XAGS30/41,64,安康白河麻虎HG-AK209,129,52092,安康白河麻虎HG-AK209-2,GSM,110.0163889,32.87138889,宏站
ANK-HBSC-6000-009,XAGS30/41,10,安康白河麻虎乡南沟村HG-AKF256,32,52561,安康白河麻虎乡南沟村HG-AKF256-0,GSM,110.024722,32.817777,宏站
ANK-HBSC-6000-009,XAGS30/41,10,安康白河麻虎乡南沟村HG-AKF256,33,52562,安康白河麻虎乡南沟村HG-AKF256-1,GSM,110.024722,32.817777,宏站
ANK-HBSC-6000-009,XAGS30/41,10,安康白河麻虎乡南沟村HG-AKF256,34,52563,安康白河麻虎乡南沟村HG-AKF256-2,GSM,110.024722,32.817777,宏站
ANK-HBSC-6000-009,XAGS30/41,144,安康白河麻虎乡南沟村HG-AKM244,245,52444,安康白河麻虎乡南沟村HG-AKM244-0,GSM,110.018888,32.831388,宏站
ANK-HBSC-6000-009,XAGS30/41,144,安康白河麻虎乡南沟村HG-AKM244,434,2445,安康白河麻虎乡南沟村HG-AKM244-1,GSM,110.018888,32.831388,宏站
ANK-HBSC-6000-009,XAGS30/41,144,安康白河麻虎乡南沟村HG-AKM244,438,2446,安康白河麻虎乡南沟村HG-AKM244-2,GSM,110.018888,32.831388,宏站
ANK-HBSC-6000-009,XAGS30/41,144,安康白河麻虎乡南沟村HG-AKM244,58,52445,安康白河麻虎乡南沟村拉远HG-AKM244-1,GSM,110.009167,32.846702,宏站
ANK-HBSC-6000-009,XAGS30/41,144,安康白河麻虎乡南沟村HG-AKM244,219,5446,安康白河麻虎乡南沟村拉远HG-AKM244-2,GSM,110.009167,32.846702,宏站
ANK-HBSC-6000-009,XAGS30/41,144,安康白河麻虎乡南沟村HG-AKM244,232,5447,安康白河麻虎乡南沟村拉远HG-AKM244-3,GSM,110.009167,32.846702,宏站
ANK-HBSC-6000-009,XAGS30/41,134,安康白河麻虎镇松坪村HG-AKF090,395,50907,安康白河麻虎镇松坪村HG-AKF090-0,GSM,109.930229,32.788798,宏站
ANK-HBSC-6000-009,XAGS30/41,134,安康白河麻虎镇松坪村HG-AKF090,396,50908,安康白河麻虎镇松坪村HG-AKF090-1,GSM,109.930229,32.788798,宏站
ANK-HBSC-6000-009,XAGS30/41,134,安康白河麻虎镇松坪村HG-AKF090,397,50909,安康白河麻虎镇松坪村HG-AKF090-2,GSM,109.930229,32.788798,宏站
ANK-HBSC-6000-009,XAGS30/41,18,安康白河麻虎镇松树村HG-AKF286,62,2860,安康白河麻虎镇松树村HG-AKF286-0,GSM,109.926362,32.777115,宏站
ANK-HBSC-6000-009,XAGS30/41,18,安康白河麻虎镇松树村HG-AKF286,63,2861,安康白河麻虎镇松树村HG-AKF286-1,GSM,109.926362,32.777115,宏站
ANK-HBSC-6000-009,XAGS30/41,18,安康白河麻虎镇松树村HG-AKF286,67,2862,安康白河麻虎镇松树村HG-AKF286-2,GSM,109.926362,32.777115,宏站
ANK-HBSC-6000-009,XAGS30/41,43,安康白河茅坪镇响应村HG-AKM501,348,55015,安康白河麻虎镇松树村拉远HG-AKM501-1,GSM,109.954444,32.780277,宏站
ANK-HBSC-6000-009,XAGS30/41,43,安康白河茅坪镇响应村HG-AKM501,585,55016,安康白河麻虎镇松树村拉远HG-AKM501-6,GSM,109.954444,32.780277,宏站
ANK-HBSC-6000-009,XAGS30/41,43,安康白河茅坪镇响应村HG-AKM501,586,55017,安康白河麻虎镇松树村拉远HG-AKM501-7,GSM,109.954444,32.780277,宏站
